Ticker
AAPL
AMZN
MSFT
GS
GE
IBM
DIS
INTC
WMT
JPM
FB
GOOG
BA
WMT
MMM
AXP
CAT
CVX
CSCO
KO
JNJ
DD
XOM
MCD
MRK
HD
NKE
PFE
PG
TRV
UTX
UNH
VZ
V
