pdate,name,weekday,volumn,open,high,low,close,adjclose
1997/11/6,^TWII,4,0,7987.080078,8090.140137,7983.919922,8076.740653,8076.740653
1997/11/7,^TWII,5,0,8076.52002,8137.02002,7778.660156,7860.061265,7860.061265
1997/11/10,^TWII,1,0,7724.870117,7810.990234,7644.52002,7767.111896,7767.111896
1997/11/11,^TWII,2,0,7765.220215,7797.720215,7681.140137,7712.132116,7712.132116
1997/11/13,^TWII,4,0,7544.870117,7587.970215,7515.640137,7554.912473,7554.912473
1997/11/14,^TWII,5,0,7673.140137,7681.310059,7481.390137,7482.892715,7482.892715
1997/11/17,^TWII,1,0,7528.330078,7690.540039,7499.25,7690.512077,7690.512077
1997/11/18,^TWII,2,0,7870.02002,7876.140137,7642.939941,7644.942419,7644.942419
1997/11/19,^TWII,3,0,7606.490234,7705.399902,7606.490234,7705.371886,7705.371886
1997/11/20,^TWII,4,0,7747.859863,7806.680176,7689.189941,7693.262067,7693.262067
1997/11/21,^TWII,5,0,7762.22998,7773.350098,7732.720215,7773.321835,7773.321835
1997/11/24,^TWII,1,0,7880.02002,7880.02002,7751.319824,7756.221799,7756.221799
1997/11/25,^TWII,2,0,7702.720215,7773.180176,7698.47998,7759.942,7759.942
1997/11/26,^TWII,3,0,7819.790039,7819.790039,7694.720215,7698.212244,7698.212244
1997/11/27,^TWII,4,0,7737.470215,7762.149902,7690.109863,7762.12168,7762.12168
1997/11/28,^TWII,5,0,7833.470215,7876.910156,7794.779785,7797.161592,7797.161592
1997/12/1,^TWII,1,0,7446.490234,7454.97998,7354.919922,7400.613229,7400.613229
1997/12/2,^TWII,2,0,7455.509766,7679.529785,7455.509766,7679.501863,7679.501863
1997/12/3,^TWII,3,0,7651.680176,7904.160156,7651.680176,7902.481033,7902.481033
1997/12/4,^TWII,4,0,8003.870117,8060.279785,7919.399902,8050.100613,8050.100613
1997/12/5,^TWII,5,0,8175.189941,8280.650391,8121.899902,8166.840423,8166.840423
1997/12/8,^TWII,1,0,8265.360352,8402.169922,8265.360352,8402.139373,8402.139373
1997/12/9,^TWII,2,0,8512.610352,8512.610352,8325.230469,8333.459935,8333.459935
1997/12/10,^TWII,3,0,8368.160156,8532.25,8368.160156,8503.518887,8503.518887
1997/12/11,^TWII,4,0,8438.379883,8451.929688,8250.919922,8270.550007,8270.550007
1997/12/12,^TWII,5,0,8135.169922,8398.269531,8135.169922,8398.238996,8398.238996
1997/12/15,^TWII,1,0,8420.910156,8420.910156,8241.490234,8241.460269,8241.460269
1997/12/16,^TWII,2,0,8341.349609,8341.349609,8172.830078,8193.620599,8193.620599
1997/12/17,^TWII,3,0,8297.69043,8347.200195,8241.69043,8347.169846,8347.169846
1997/12/18,^TWII,4,0,8361.900391,8380.719727,8253.879883,8255.01979,8255.01979
1997/12/19,^TWII,5,0,8205.830078,8305.830078,8091.169922,8092.550654,8092.550654
1997/12/22,^TWII,1,0,8223.69043,8226.139648,8096.990234,8104.00032,8104.00032
1997/12/23,^TWII,2,0,8192.700195,8192.700195,8032.529785,8038.280832,8038.280832
1997/12/24,^TWII,3,0,7925.100098,8080.810059,7920.100098,8075.020445,8075.020445
1997/12/26,^TWII,5,0,8135.450195,8205.700195,8113.22998,8132.470431,8132.470431
1997/12/29,^TWII,1,0,8111.77002,8113.22998,8069.169922,8076.620537,8076.620537
1997/12/30,^TWII,2,0,8167.339844,8167.339844,8116.149902,8145.740402,8145.740402
1997/12/31,^TWII,3,0,8226.330078,8243.599609,8176.700195,8187.240252,8187.240252
1998/1/5,^TWII,1,0,8154.919922,8154.919922,8025.740234,8028.600692,8028.600692
1998/1/6,^TWII,2,0,7994.680176,7999.620117,7938.669922,7966.151212,7966.151212
1998/1/7,^TWII,3,0,7968.540039,8017.52002,7821.75,7835.531569,7835.531569
1998/1/8,^TWII,4,0,7860.029785,7871.109863,7775.259766,7778.131876,7778.131876
1998/1/9,^TWII,5,0,7779.109863,7813.859863,7647.240234,7737.172064,7737.172064
1998/1/12,^TWII,1,0,7578.140137,7592.669922,7373.140137,7375.113322,7375.113322
1998/1/13,^TWII,2,0,7496.379883,7517.120117,7399.47998,7513.212917,7513.212917
1998/1/14,^TWII,3,0,7617.529785,7798.25,7617.529785,7798.221646,7798.221646
1998/1/15,^TWII,4,0,7856.149902,7856.149902,7765.990234,7770.741766,7770.741766
1998/1/16,^TWII,5,0,7756.419922,7879.209961,7756.419922,7799.071741,7799.071741
1998/1/19,^TWII,1,0,7928.5,7935.870117,7842.060059,7847.591584,7847.591584
1998/1/20,^TWII,2,0,7880.629883,7908.200195,7840.549805,7907.651424,7907.651424
1998/1/21,^TWII,3,0,8020.490234,8098.649902,8009.22998,8098.620457,8098.620457
1998/1/22,^TWII,4,0,8066.140137,8114.220215,8066.140137,8085.440817,8085.440817
1998/2/2,^TWII,1,0,8260.280273,8405.110352,8245.419922,8405.079792,8405.079792
1998/2/3,^TWII,2,0,8583.379883,8586.919922,8478.30957,8514.148731,8514.148731
1998/2/4,^TWII,3,0,8539.80957,8575.299805,8453.419922,8470.579553,8470.579553
1998/2/5,^TWII,4,0,8492.919922,8626.799805,8484.980469,8621.938378,8621.938378
1998/2/6,^TWII,5,0,8712.25,8775.669922,8469.360352,8544.108583,8544.108583
1998/2/9,^TWII,1,0,8778.980469,8796.44043,8634.610352,8634.578957,8634.578957
1998/2/10,^TWII,2,0,8667.410156,8673.349609,8537.400391,8567.629005,8567.629005
1998/2/11,^TWII,3,0,8693.990234,8753.540039,8682.160156,8713.388241,8713.388241
1998/2/12,^TWII,4,0,8805.160156,8831.120117,8763.070312,8799.987535,8799.987535
1998/2/13,^TWII,5,0,8920.240234,8920.240234,8701.580078,8706.428305,8706.428305
1998/2/16,^TWII,1,0,8673.820312,8729.700195,8628.360352,8708.258377,8708.258377
1998/2/17,^TWII,2,0,8701.969727,8796.219727,8648.759766,8782.057913,8782.057913
1998/2/18,^TWII,3,0,8868.679688,8886.070312,8815.530273,8837.307712,8837.307712
1998/2/19,^TWII,4,0,8958.339844,9014.320312,8942.719727,8978.477121,8978.477121
1998/2/20,^TWII,5,0,9095.370117,9095.370117,9021.849609,9037.44761,9037.44761
1998/2/23,^TWII,1,0,9126.5,9176.240234,9074.620117,9146.966743,9146.966743
1998/2/24,^TWII,2,0,9324.540039,9324.540039,9032.790039,9066.426996,9066.426996
1998/2/25,^TWII,3,0,9111.870117,9131.419922,9010.759766,9027.066788,9027.066788
1998/2/26,^TWII,4,0,9144.259766,9229.19043,9126.55957,9229.156873,9229.156873
1998/2/27,^TWII,5,0,9363.389648,9378.519531,9194.509766,9202.526111,9202.526111
1998/3/2,^TWII,1,0,9272.790039,9314.740234,9243.650391,9277.056113,9277.056113
1998/3/3,^TWII,2,0,9307.019531,9307.019531,9120.330078,9211.796585,9211.796585
1998/3/4,^TWII,3,0,9202.820312,9260.919922,8967.980469,8977.507398,8977.507398
1998/3/5,^TWII,4,0,8995.919922,8995.919922,8748.910156,8765.288443,8765.288443
1998/3/6,^TWII,5,0,8630.049805,8853.55957,8630.049805,8847.618222,8847.618222
1998/3/9,^TWII,1,0,8860.219727,8910.780273,8812.94043,8887.328038,8887.328038
1998/3/10,^TWII,2,0,8971.509766,8976.150391,8869.55957,8897.237182,8897.237182
1998/3/11,^TWII,3,0,8991.709961,9030.549805,8969.55957,9030.516971,9030.516971
1998/3/12,^TWII,4,0,9113.150391,9137.089844,9049.05957,9056.337189,9056.337189
1998/3/13,^TWII,5,0,9096.740234,9109.389648,9006.120117,9055.476841,9055.476841
1998/3/16,^TWII,1,0,9088.5,9107.549805,9049.660156,9065.266844,9065.266844
1998/3/17,^TWII,2,0,9161.179688,9165.120117,9037.290039,9045.516916,9045.516916
1998/3/18,^TWII,3,0,9045.360352,9069.769531,8948.299805,8952.627605,8952.627605
1998/3/19,^TWII,4,0,8994.049805,8994.049805,8837.290039,8859.377944,8859.377944
1998/3/20,^TWII,5,0,8911.759766,8911.759766,8823.269531,8904.198094,8904.198094
1998/3/23,^TWII,1,0,8843.769531,8853.830078,8738,8757.558002,8757.558002
1998/3/24,^TWII,2,0,8792.219727,8815.55957,8751.849609,8806.817589,8806.817589
1998/3/25,^TWII,3,0,8904.5,9040.75,8902.610352,9040.717129,9040.717129
1998/3/26,^TWII,4,0,9120.230469,9130.5,9008.200195,9014.137147,9014.137147
1998/3/27,^TWII,5,0,9091.75,9139.669922,9070.870117,9095.797007,9095.797007
1998/3/30,^TWII,1,0,9154.549805,9154.549805,9079.950195,9088.926915,9088.926915
1998/3/31,^TWII,2,0,9069.650391,9106.780273,9051.839844,9091.127102,9091.127102
1998/4/1,^TWII,3,0,9160.679688,9160.679688,9035.69043,9041.467126,9041.467126
1998/4/2,^TWII,4,0,9029.730469,9062.389648,8979.490234,9013.066839,9013.066839
