pdate,weekday,column,open,high,low,close,adjclose,change,changePercent
2003/4/16,3,3267400,4541.660156,4619.950195,4541.660156,4609.319824,4609.303065,121.72998,0.027125915
2003/4/17,4,2350200,4593.890137,4628,4564.52002,4566.660156,4566.643552,-42.659668,-0.00925509
2003/4/18,5,3958400,4633.589844,4677.419922,4633.589844,4658.299805,4658.282868,91.639649,0.020067105
2003/4/21,1,2861000,4652.240234,4661.890137,4609.470215,4648.120117,4648.103217,-10.179688,-0.00218528
2003/4/22,2,2263200,4622.25,4626.459961,4556.100098,4556.100098,4556.083532,-92.020019,-0.019797255
2003/4/23,3,2778400,4611.459961,4621.779785,4546.200195,4564.930176,4564.913578,8.830078,0.001938078
2003/4/24,4,3204200,4538.370117,4538.370117,4360.830078,4374.939941,4374.924035,-189.990235,-0.041619527
2003/4/25,5,2952000,4269.600098,4338.27002,4231.560059,4233.540039,4233.524646,-141.399902,-0.032320421
2003/4/28,1,2589000,4126.25,4156.850098,4044.72998,4139.5,4139.484949,-94.040039,-0.022213098
2003/4/29,2,3396000,4186.22998,4227.819824,4142.620117,4200.319824,4200.304552,60.819824,0.014692553
2003/4/30,3,2839800,4260.080078,4268.839844,4128.339844,4148.069824,4148.054742,-52.25,-0.012439529
2003/5/2,5,2302200,4130.600098,4193.189941,4108.669922,4187.819824,4187.804598,39.75,0.00958277
2003/5/5,1,2122600,4167.419922,4215.899902,4146.140137,4202.120117,4202.104839,14.300293,0.003414735
2003/5/6,2,2336600,4210.390137,4250.890137,4206.839844,4220.450195,4220.43485,18.330078,0.004362102
2003/5/7,3,2455600,4253.430176,4276.689941,4217.72998,4275.910156,4275.89461,55.459961,0.013140769
2003/5/8,4,1818400,4254.509766,4254.509766,4191.25,4191.25,4191.234761,-84.660156,-0.01979933
2003/5/9,5,2290800,4194.549805,4278.890137,4194.549805,4244.180176,4244.164744,52.930176,0.012628733
2003/5/12,1,1892600,4264.740234,4296.720215,4245.209961,4261.02002,4261.004527,16.839844,0.00396775
2003/5/13,2,2621000,4320.129883,4362.339844,4320.129883,4334.589844,4334.574084,73.569824,0.017265778
2003/5/14,3,1988800,4329.419922,4351.540039,4317.990234,4341.100098,4341.084314,6.510254,0.001501931
2003/5/15,4,1738600,4329.97998,4331.240234,4288.490234,4331.240234,4331.224486,-9.859864,-0.002271282
2003/5/16,5,1916800,4360.640137,4365.109863,4283.77002,4283.77002,4283.754444,-47.470214,-0.010959959
2003/5/19,1,1314000,4259.879883,4263.810059,4233.75,4255.799805,4255.784331,-27.970215,-0.006529346
2003/5/20,2,1486400,4202.620117,4254.140137,4194.220215,4251.589844,4251.574385,-4.209961,-0.000989229
2003/5/21,3,1461600,4248.680176,4248.680176,4212.5,4216.640137,4216.624806,-34.949707,-0.008220385
2003/5/22,4,1889000,4209.259766,4271.299805,4184.850098,4271.299805,4271.284275,54.659668,0.012962849
2003/5/23,5,3012800,4295.759766,4360.939941,4289.529785,4349.52002,4349.504205,78.220215,0.018312977
2003/5/26,1,3456400,4393.399902,4465.569824,4393.399902,4465.569824,4465.553588,116.049804,0.02668106
2003/5/27,2,3232600,4463.359863,4484.540039,4445.740234,4451.109863,4451.09368,-14.459961,-0.0032381
2003/5/28,3,3703600,4538.069824,4558.529785,4474.410156,4474.410156,4474.393888,23.300293,0.005234715
2003/5/29,4,3018000,4496.5,4543.040039,4472.589844,4543.040039,4543.023521,68.629883,0.015338308
2003/5/30,5,4717200,4524.450195,4639.009766,4509.72998,4555.899902,4555.883338,12.859863,0.002830673
2003/6/2,1,4852800,4620.540039,4706.549805,4612.100098,4692.939941,4692.922878,137.040039,0.030079686
2003/6/3,2,4129400,4687.75,4717.189941,4659.169922,4678.080078,4678.063069,-14.859863,-0.003166429
2003/6/5,4,4763600,4743.97998,4779.399902,4720.359863,4738.339844,4738.322616,60.259766,0.012881303
2003/6/6,5,3560200,4749.040039,4751.459961,4701.350098,4740.450195,4740.43296,2.110351,0.000445378
2003/6/9,1,5038600,4725.839844,4831.459961,4715.819824,4826.939941,4826.922391,86.489746,0.018245049
2003/6/10,2,4723800,4810.310059,4854.040039,4801.720215,4832.200195,4832.182626,5.260254,0.00108977
2003/6/11,3,5006200,4872.459961,4874.680176,4804.649902,4804.649902,4804.632433,-27.550293,-0.005701397
