id,date,price,change,volumn
120,2016/8/3,9001.71,-0.0074,70771446
121,2016/8/2,9068.76,-0.0013,74010051
122,2016/8/1,9080.71,0.0107,78804102
123,2016/7/29,8984.41,-0.0102,79791349
124,2016/7/28,9076.64,0.0015,88750752
125,2016/7/27,9063.39,0.0043,96440644
126,2016/7/26,9024.79,0.0037,76442857
127,2016/7/25,8991.67,-0.0024,77600049
128,2016/7/22,9013.14,-0.0048,82046171
129,2016/7/21,9056.56,0.0054,100647508
130,2016/7/20,9007.68,-0.003,94869577
131,2016/7/19,9034.87,0.003,96280319
132,2016/7/18,9008.21,0.0065,93473193
133,2016/7/15,8949.85,0.0094,102656765
134,2016/7/14,8866.36,0.001,84659240
135,2016/7/13,8857.75,0.0018,98433193
136,2016/7/12,8841.46,0.0063,98294776
137,2016/7/11,8786.47,0.0168,99362933
138,2016/7/7,8640.91,0.0076,63917075
139,2016/7/6,8575.75,-0.0161,79293353
140,2016/7/5,8716.07,-0.0051,63985820
141,2016/7/4,8760.58,0.0026,71901682
142,2016/7/1,8738.24,0.0083,87367201
143,2016/6/30,8666.58,0.0093,95446248
144,2016/6/29,8586.56,0.0095,83049487
145,2016/6/28,8505.51,0.0055,73716722
146,2016/6/27,8458.87,-0.0021,64019527
147,2016/6/24,8476.99,-0.023,123821946
148,2016/6/23,8676.68,-0.0045,60884859
149,2016/6/22,8716.25,0.0036,72954740
150,2016/6/21,8684.85,0.0068,70549583
151,2016/6/20,8625.92,0.0068,61725407
152,2016/6/17,8568.08,0.0087,73109254
153,2016/6/16,8494.14,-0.013,72824942
154,2016/6/15,8606.37,0.0035,72856146
155,2016/6/14,8576.12,0.0047,63850727
156,2016/6/13,8536.22,-0.0206,83588012
157,2016/6/8,8715.48,0.0041,85786188
158,2016/6/7,8679.9,0.0096,85050278
159,2016/6/6,8597.11,0.0006,61971449
160,2016/6/4,8591.57,0.0005,30206861
161,2016/6/3,8587.36,0.0037,64809532
162,2016/6/2,8556.02,-0.0048,82188998
163,2016/6/1,8597.16,0.0072,77190940
164,2016/5/31,8535.59,0,115600250
165,2016/5/30,8535.87,0.0085,78124791
166,2016/5/27,8463.61,0.0083,68626136
167,2016/5/26,8394.12,-0.0002,65478914
168,2016/5/25,8396.2,0.0115,80459911
169,2016/5/24,8300.66,-0.0052,64637921
170,2016/5/23,8344.44,0.0262,90554982
171,2016/5/20,8131.26,0.0044,58263286
172,2016/5/19,8095.98,-0.0078,60422574
173,2016/5/18,8159.68,0.0024,65383955
174,2016/5/17,8140.48,0.009,66672653
175,2016/5/16,8067.6,0.0017,64686301
176,2016/5/13,8053.69,-0.0067,89924012
177,2016/5/12,8108.05,-0.0034,68548502
178,2016/5/11,8135.56,-0.0025,80431862
179,2016/5/10,8156.29,0.003,70928843
180,2016/5/9,8131.83,-0.0018,75447508
181,2016/5/6,8146.43,-0.0026,84384286
182,2016/5/5,8167.96,-0.0021,74975723
183,2016/5/4,8185.47,-0.0131,82399462
184,2016/5/3,8294.12,-0.01,79541801
185,2016/4/29,8377.9,-0.0113,79542764
186,2016/4/28,8473.87,-0.0104,75136632
187,2016/4/27,8563.05,-0.0022,68796176
188,2016/4/26,8581.57,0.0025,62262529
189,2016/4/25,8560.28,0.0029,56182234
190,2016/4/22,8535.75,-0.0038,79070599
191,2016/4/21,8568.65,0.0064,75973585
192,2016/4/20,8514.48,-0.0138,96785720
193,2016/4/19,8633.72,-0.0037,81358438
194,2016/4/18,8666.01,-0.004,65051346
195,2016/4/15,8700.39,0.0038,79717512
196,2016/4/14,8667.71,0.0018,82203414
197,2016/4/13,8652.08,0.0142,92382932
198,2016/4/12,8531.18,-0.0037,83753452
199,2016/4/11,8562.59,0.0025,68897768
200,2016/4/8,8541.5,0.006,78914261
201,2016/4/7,8490.25,-0.0027,85012242
202,2016/4/6,8513.3,-0.0167,99649801
203,2016/4/1,8657.55,-0.01,74436466
204,2016/3/31,8744.83,0.0009,96143315
205,2016/3/30,8737.04,0.0139,89188136
206,2016/3/29,8617.35,-0.0084,80354222
207,2016/3/28,8690.45,-0.0017,69405830
208,2016/3/25,8704.97,-0.0044,66971897
209,2016/3/24,8743.38,-0.0026,81028032
210,2016/3/23,8766.09,-0.0022,83001864
211,2016/3/22,8785.68,-0.0031,87909107
212,2016/3/21,8812.7,0.0002,83602377
213,2016/3/18,8810.71,0.0087,118470664
214,2016/3/17,8734.54,0.0041,110428671
215,2016/3/16,8699.14,0.0102,95303426
216,2016/3/15,8611.18,-0.0156,116596382
217,2016/3/14,8747.9,0.0048,100745050
218,2016/3/11,8706.14,0.0052,89618730
219,2016/3/10,8660.7,0.0031,86979509
220,2016/3/9,8634.11,-0.0035,87722074
221,2016/3/8,8664.31,0.0005,107338379
222,2016/3/7,8659.55,0.0019,97317441
223,2016/3/4,8643.55,0.0037,95177431
224,2016/3/3,8611.79,0.0079,101457411
225,2016/3/2,8544.05,0.0069,101503867
226,2016/3/1,8485.69,0.0089,93076019
227,2016/2/26,8411.16,0.0054,84825115
228,2016/2/25,8365.86,0.01,85369873
229,2016/2/24,8282.86,-0.0062,72921321
230,2016/2/23,8334.64,0.001,79158782
231,2016/2/22,8326.68,0.0002,76666061
232,2016/2/19,8325.04,0.0012,76763583
233,2016/2/18,8314.67,0.0122,96306906
234,2016/2/17,8214.25,0.0003,84973308
235,2016/2/16,8212.07,0.018,92274426
236,2016/2/15,8066.51,0.0004,89049265
237,2016/2/3,8063,-0.0084,78552943
